id,library,poclink,pdf_file
914,redis,https://github.com/RedisLabs/redisraft/issues/608,914_redis_issue_608.pdf
91,transformers,https://huntr.com/bounties/3f8b3fd0-166b-46e7-b60f-60dd9d2678bf,91_transformers_huntr_3f8b3fd0-166b-46e7-b60f-60dd9d2678bf.pdf
922,gradio,https://huntr.com/bounties/0e39e974-9a66-476f-91f5-3f37abb03d77,922_gradio_huntr_0e39e974-9a66-476f-91f5-3f37abb03d77.pdf
92,torch,https://github.com/pytorch/pytorch/issues/150835,92_torch_issue_150835.pdf
939,vllm,https://github.com/vllm-project/vllm/issues/18454,939_vllm_issue_18454.pdf
93,torch,https://github.com/pytorch/pytorch/issues/129228,93_torch_issue_129228.pdf
941,vllm,https://github.com/vllm-project/vllm/issues/16283,941_vllm_issue_16283.pdf
942,tensorflow,https://github.com/tensorflow/tensorflow/issues/53695,942_tensorflow_issue_53695.pdf
951,wandb,https://huntr.com/bounties/055eb540-57f8-46d6-b858-3a9e22d347d9,951_wandb_huntr_055eb540-57f8-46d6-b858-3a9e22d347d9.pdf
95,torch,https://github.com/pytorch/pytorch/issues/149274,95_torch_issue_149274.pdf
98,scikit-learn,https://huntr.com/bounties/14bc0917-a85b-4106-a170-d09d5191517c,98_scikit-learn_huntr_14bc0917-a85b-4106-a170-d09d5191517c.pdf
99,scikit-learn,https://github.com/scikit-learn/scikit-learn/issues/18891,99_scikit-learn_issue_18891.pdf
